Year,Month,Rain,Humidity,Temperature,Pressure,Flood
1981,1,7,14.71,27.72,100.68,1
1981,2,6.8,14.28,30.08,100.57,1
1981,3,28.5,16.36,31.55,100.47,1
1981,4,75.9,18.55,30.81,100.35,1
1981,5,166.3,18.86,28.93,100.26,1
1981,6,912.4,18.37,26.52,100.32,1
1981,7,489.8,18.55,26.01,100.31,1
1981,8,495.6,18.37,25.93,100.37,1
1981,9,376.6,18.43,26.05,100.32,1
1981,10,265,18.01,26.75,100.44,1
1981,11,138.6,17.09,26.59,100.46,1
1981,12,43.3,15.56,26.98,100.67,1
1982,1,0.7,13.55,28.17,100.64,0
1982,2,0.1,14.71,31.16,100.53,0
1982,3,21.9,16.3,31.62,100.46,0
1982,4,60.4,18.62,29.5,100.37,0
1982,5,148.2,19.1,28.3,100.35,0
1982,6,612.2,18.62,26.85,100.35,0
1982,7,511.5,18.13,25.88,100.35,0
1982,8,495,18.13,25.73,100.43,0
1982,9,70.6,17.76,26.59,100.47,0
1982,10,164.4,17.33,27.65,100.52,0
1982,11,127.5,17.03,28.16,100.48,0
1982,12,10.8,14.28,28.58,100.57,0
1983,1,0.2,12.94,29.73,100.69,0
1983,2,1.5,15.26,30.56,100.62,0
1983,3,0.9,16.17,31.63,100.54,0
1983,4,13.1,17.58,32.16,100.41,0
1983,5,76,18.62,30.32,100.33,0
1983,6,322.8,18.74,28.22,100.27,0
1983,7,583.2,18.07,26.87,100.33,0
1983,8,579.9,18.25,25.98,100.36,0
1983,9,421.1,17.82,26.15,100.41,0
1983,10,136.2,17.76,26.81,100.39,0
1983,11,116.5,16.78,27.33,100.62,0
1983,12,69.1,16.24,27.8,100.5,0
1984,1,36.8,15.75,28.11,100.43,0
1984,2,60,16.11,28.6,100.32,0
1984,3,95.3,17.09,29.41,100.44,0
1984,4,162.1,18.68,29.08,100.27,0
1984,5,84.6,18.86,28.84,100.2,0
1984,6,842.6,18.49,26.21,100.27,0
1984,7,653.6,17.82,25.32,100.28,0
1984,8,284.4,17.94,25.44,100.39,0
1984,9,171.1,17.64,26.01,100.4,0
1984,10,286,16.97,25.82,100.51,0
1984,11,67.7,16.72,27.19,100.51,0
1984,12,18,14.34,27.23,100.43,0
1985,1,61.2,14.95,27.46,100.54,0
1985,2,6.1,16.36,29.54,100.23,0
1985,3,29.3,16.72,31.19,100.42,0
1985,4,66.6,18.55,29.32,100.27,0
1985,5,254.2,18.49,29.12,100.17,0
1985,6,828.7,18.31,25.94,100.37,0
1985,7,388.9,17.58,25.12,100.43,0
1985,8,315.3,17.76,25.3,100.37,0
1985,9,117.6,17.58,26.11,100.38,0
1985,10,204,17.33,26.72,100.43,0
1985,11,74.9,16.17,26.83,100.51,0
1985,12,44,15.26,27.71,100.56,0
1986,1,5.6,14.77,28.76,100.55,0
1986,2,18.7,15.32,29.41,100.54,0
