YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC, ANNUAL,FLOODS
1981,7,6.8,28.5,75.9,166.3,912.4,489.8,495.6,376.6,265,138.6,43.3,3005.9,YES
1982,0.7,0.1,21.9,60.4,148.2,612.2,511.5,495,70.6,164.4,127.5,10.8,2223.3,NO
1983,0.2,1.5,0.9,13.1,76,322.8,583.2,579.9,421.1,136.2,116.5,69.1,2320.3,NO
1984,36.8,60,95.3,162.1,84.6,842.6,653.6,284.4,171.1,286,67.7,18,2762.1,NO
1985,61.2,6.1,29.3,66.6,254.2,828.7,388.9,315.3,117.6,204,74.9,44,2390.5,NO
1986,5.6,18.7,11.2,63.1,126.7,597.9,324.8,340.3,235.4,165.5,194.7,9.5,2093.2,NO
1987,0.6,0.8,4.3,57.2,108.3,572.6,221,396.6,157,272.1,216,131.1,2137.6,NO
1988,0.8,17.5,38.1,177.6,157.2,511.3,502.8,379.8,451.7,68.5,67,31.1,2403.5,NO
1989,10.3,0,30.1,141.5,169.4,657.5,450.7,285.5,271.1,308,92.9,5.6,2422.7,NO
1990,14.9,4.8,18,41.8,488.5,528.6,635.4,370.8,103.3,323.2,158.8,5.2,2693.1,NO
1991,10.9,4.4,33.2,97,113.4,1096.1,905.5,465.5,48.5,307.8,99.9,2.3,3184.5,YES
1992,2.4,0.9,0.1,43,218.4,819.3,767.8,508,297.5,290.7,287.6,3.7,3239.5,YES
1993,0,17.8,20.1,66.5,159,657.1,776.1,301.9,88,431.2,153.8,46.2,2717.7,NO
1994,24.3,27.1,18.1,154.5,141.3,845,955.5,479.9,212.6,428.4,117.6,6.5,3410.8,YES
1995,10.3,6.5,37.3,134.9,355.6,493.4,702.5,457.3,280,198.3,182.6,0.1,2858.8,NO
1996,2.8,9.1,14.4,124.3,74.3,572.4,696,327.4,342.7,294.1,89.9,62.5,2610,NO
1997,2.1,1.5,36.1,60.6,133.6,544.2,970.5,536,292.2,288.9,298.4,88.4,3252.4,YES
1998,6,2.1,8.1,61.1,151.6,732.5,641.4,371.8,517.6,444.8,135,79.4,3151.5,YES
1999,1.8,23.8,21.4,111.6,453.2,607.3,700.4,266.3,88,567.9,68.1,4.9,2914.6,NO
2000,11.7,57.8,21.5,96.3,124.5,633.8,343.2,566.5,195.8,214.2,78.1,69.1,2412.6,NO
2001,16.5,28.3,7,238,238.6,715.3,598.5,361.3,216.8,319.6,181,10.1,2931.1,NO
2002,4.7,8.7,35.7,117.3,330.8,503.1,318.7,438.2,99,511.7,137.5,2.1,2507.4,NO
2003,0.7,50.9,82.1,134.4,91,566.7,532,350.3,93.6,407,76.4,9.7,2394.9,NO
2004,2.4,8.1,37.9,113.2,610.9,673.4,385.4,417.9,192.8,320.6,120.7,2.7,2886.1,NO
2005,19.8,7,25.3,205.9,134.8,619.2,832.7,291,414.7,240.1,184.3,56.4,3031.1,YES
2006,8.1,0.5,90.7,65.3,521.2,482.4,804,432.6,474.8,376.4,162.8,1.8,3420.6,YES
2007,0.5,5.6,7.3,138.5,192.7,705.9,966.3,489.6,526.7,357.2,87.4,11.9,3489.6,YES
2008,0.8,30.3,217.2,108.4,81.2,469.9,505.1,349,347,343.4,55.4,17,2524.5,NO
2009,3.3,1.5,62.6,69,191.6,438.2,924.9,269.3,326.5,205.2,274.4,44.2,2810.6,NO
2010,18.6,1,31.4,138.9,190.6,667.5,629,356,275.6,441.4,335.1,46.8,3131.8,YES
2011,20.5,45.7,24.1,165.2,124.2,788.5,536.8,492.7,391.2,227.2,169.7,49.5,3035.1,YES
2012,7.4,11,21,171.1,95.3,430.3,362.6,501.6,241.1,187.5,112.9,9.4,2151.1,NO
2013,3.9,40.1,49.9,49.3,119.3,1042.7,830.2,369.7,318.6,259.9,154.9,17,3255.4,YES
2014,4.6,10.3,17.9,95.7,251,454.4,677.8,733.9,298.8,355.5,99.5,47.2,3046.4,YES
2015,3.1,5.8,50.1,214.1,201.8,563.6,406,252.2,292.9,308.1,223.6,79.4,2600.6,NO
2016,2.4,3.8,35.9,143,186.4,522.2,412.3,325.5,173.2,225.9,125.4,23.6,2176.6,NO
2017,1.9,6.8,8.9,43.6,173.5,498.5,319.6,531.8,209.5,192.4,92.5,38.1,2117.1,NO
2018,29.1,52.1,48.6,116.4,183.8,625.4,1048.5,1398.9,423.6,356.1,125.4,65.1,4473,YES
