Year,Month,Rain,Humidity,Temperature,Pressure,Flood
1981,1,7,14.71,27.72,100.68,0
1981,2,6.8,14.28,30.08,100.57,0
1981,3,28.5,16.36,31.55,100.47,0
1981,4,75.9,18.55,30.81,100.35,0
1981,5,166.3,18.86,28.93,100.26,0
1981,6,912.4,18.37,26.52,100.32,1
1981,7,489.8,18.55,26.01,100.31,1
1981,8,495.6,18.37,25.93,100.37,1
1981,9,376.6,18.43,26.05,100.32,0
1981,10,265,18.01,26.75,100.44,0
1981,11,138.6,17.09,26.59,100.46,0
1981,12,43.3,15.56,26.98,100.67,0
1982,1,0.7,13.55,28.17,100.64,0
1982,2,0.1,14.71,31.16,100.53,0
1982,3,21.9,16.3,31.62,100.46,0
1982,4,60.4,18.62,29.5,100.37,0
1982,5,148.2,19.1,28.3,100.35,0
1982,6,612.2,18.62,26.85,100.35,0
1982,7,511.5,18.13,25.88,100.35,0
1982,8,495,18.13,25.73,100.43,0
1982,9,70.6,17.76,26.59,100.47,0
1982,10,92.5,17.56,26.95,100.66,0
1982,11,65.8,15.92,27.11,100.68,0
1982,12,11.9,14.22,27.52,100.63,0
1983,1,5.7,13.62,28.19,100.56,0
1983,2,0,14.57,31.11,100.47,0
1983,3,8.9,15.96,31.62,100.42,0
1983,4,55.5,17.98,29.47,100.34,0
1983,5,156.2,18.95,28.22,100.28,0
1983,6,466.9,18.57,26.72,100.32,0
1983,7,532.1,18.43,26.06,100.31,0
1983,8,307.3,18.11,26.08,100.39,0
1983,9,65.8,17.98,26.77,100.46,0
1983,10,49.2,17.42,27.33,100.61,0
1983,11,47.1,16.13,27.37,100.66,0
1983,12,10.2,14.59,27.96,100.61,0
1984,1,0.9,13.48,28.32,100.55,0
1984,2,0,14.23,30.8,100.44,0
1984,3,8.2,15.97,31.47,100.38,0
1984,4,35.2,18.52,29.26,100.31,0
1984,5,128.5,18.95,28.09,100.26,0
1984,6,498.2,18.47,26.67,100.33,0
1984,7,568.3,18.55,26.17,100.32,0
1984,8,352.9,18.43,25.98,100.4,0
1984,9,165.8,18.02,26.69,100.47,0
1984,10,82.5,17.59,27.14,100.61,0
1984,11,45.1,16.16,27.18,100.65,0
1984,12,10.9,14.73,27.84,100.62,0
1985,1,1.3,13.75,28.18,100.54,0
1985,2,0,14.23,30.99,100.44,0
1985,3,7.5,16.06,31.56,100.37,0
1985,4,15.3,18.35,29.24,100.31,0
1985,5,74.8,19.26,28.18,100.26,0
1985,6,468.3,18.67,26.74,100.33,0
1985,7,591.9,18.36,25.97,100.31,0
1985,8,384.6,18.24,25.78,100.39,0
1985,9,170.6,18.04,26.45,100.45,0
1985,10,95.3,17.64,27.04,100.59,0
1985,11,39.9,16.35,27.05,100.65,0
1985,12,9.2,14.95,27.58,100.62,0
1986,1,5.9,13.63,28.08,100.54,0
1986,2,0,14.17,31.08,100.44,0
1986,3,22.3,16.17,31.75,100.37,0
1986,4,39.9,18.55,29.4,100.3,0
1986,5,134.3,19.18,28.12,100.26,0
1986,6,562.1,18.7,26.75,100.33,0
1986,7,538.5,18.21,25.9,100.31,0
1986,8,376.2,18.17,25.75,100.38,0
1986,9,110.2,17.95,26.48,100.44,0
1986,10,97.2,17.42,27.18,100.58,0
1986,11,55.2,16.13,27.24,100.64,0
1986,12,12.3,14.82,27.84,100.61,0
1987,1,6.7,13.63,28.18,100.54,0
1987,2,0.3,14.21,31.06,100.43,0
1987,3,19.2,16.33,31.66,100.37,0
1987,4,37.6,18.57,29.45,100.29,0
1987,5,128.4,19.29,28.31,100.26,0
1987,6,555.5,18.81,26.89,100.33,0
1987,7,525.4,18.24,26.05,100.31,0
1987,8,378.4,18.19,25.84,100.38,0
1987,9,123.6,17.92,26.51,100.44,0
1987,10,94.7,17.53,27.09,100.58,0
1987,11,35.9,16.08,27.12,100.65,0
1987,12,7.5,14.89,27.63,100.63,0
1988,1,4.9,13.6,28.12,100.54,0
1988,2,0,14.14,30.97,100.44,0
1988,3,6.6,16.22,31.56,100.38,0
1988,4,28.4,18.4,29.34,100.3,0
1988,5,122.2,19.29,28.22,100.25,0
1988,6,496.7,18.69,26.77,100.33,0
1988,7,489.5,18.33,26.01,100.32,0
1988,8,379.7,18.18,25.82,100.39,0
1988,9,136.2,17.92,26.47,100.45,0
1988,10,108.3,17.43,27.12,100.59,0
1988,11,60.7,16.01,27.16,100.65,0
1988,12,14.9,14.91,27.7,100.63,0
1989,1,0,13.46,28.22,100.54,0
1989,2,0,14.1,31.16,100.43,0
1989,3,5.1,16.19,31.73,100.38,0
1989,4,30.2,18.34,29.43,100.3,0
1989,5,122.2,19.25,28.34,100.25,0
1989,6,597.5,18.78,26.93,100.33,0
1989,7,589.1,18.33,26.14,100.31,0
1989,8,357.3,18.17,25.87,100.38,0
1989,9,107.9,17.93,26.54,100.44,0
1989,10,64.8,17.39,27.12,100.58,0
1989,11,31.7,16.02,27.16,100.64,0
1989,12,9.9,14.76,27.77,100.62,0
1990,1,1.3,13.62,28.19,100.54,0
1990,2,0,14.09,30.9,100.44,0
1990,3,5.2,16.17,31.52,100.38,0
1990,4,29.6,18.33,29.37,100.3,0
1990,5,144.3,19.2,28.31,100.25,0
1990,6,600.2,18.72,26.88,100.33,0
1990,7,602.4,18.37,26.09,100.31,0
1990,8,365.4,18.19,25.82,100.38,0
1990,9,123.7,17.97,26.48,100.44,0
1990,10,109.5,17.48,27.09,100.58,0
1990,11,51.2,16.02,27.13,100.65,0
1990,12,13.3,14.77,27.7,100.63,0
1991,1,5,13.67,28.21,100.54,0
1991,2,0.5,14.11,31.11,100.43,0
1991,3,5.7,16.31,31.72,100.38,0
1991,4,46.5,18.46,29.44,100.3,0
1991,5,135.4,19.21,28.29,100.25,0
1991,6,571.8,18.73,26.86,100.33,1
1991,7,558.7,18.36,26.07,100.31,1
1991,8,357.7,18.22,25.82,100.38,1
1991,9,114.9,18.02,26.49,100.44,0
1991,10,90.9,17.47,27.07,100.58,0
1991,11,43.5,16.06,27.13,100.65,0
1991,12,10.3,14.86,27.73,100.62,0
1992,1,2.1,13.67,28.17,100.54,0
1992,2,0,14.14,31.06,100.43,0
1992,3,3.9,16.26,31.63,100.37,0
1992,4,44.3,18.41,29.47,100.3,0
1992,5,121.2,19.16,28.26,100.25,0
1992,6,491.3,18.69,26.83,100.33,1
1992,7,578.7,18.37,26.02,100.31,1
1992,8,325.6,18.23,25.8,100.39,1
1992,9,107.4,18.04,26.49,100.45,0
1992,10,72.9,17.45,27.08,100.59,0
1992,11,29.8,16.06,27.11,100.65,0
1992,12,7.3,14.75,27.71,100.63,0
1993,1,0,13.62,28.19,100.54,0
1993,2,0,14.17,31.08,100.43,0
1993,3,7.4,16.25,31.66,100.37,0
1993,4,49.2,18.45,29.49,100.3,0
1993,5,157.6,19.28,28.36,100.25,0
1993,6,583.5,18.71,26.91,100.33,0
1993,7,571.9,18.35,26.13,100.31,0
1993,8,345.7,18.2,25.82,100.39,0
1993,9,114.2,18.01,26.49,100.45,0
1993,10,64.9,17.46,27.09,100.59,0
1993,11,24.1,16.04,27.12,100.65,0
1993,12,11,14.78,27.72,100.63,0
1994,1,1.4,13.59,28.15,100.54,0
1994,2,0.2,14.13,31.05,100.43,0
